Razão Social|Nome de Pregão|Segmento|Links|Nome de Pregão:|CNPJ:|Atividade Principal:|Classificação Setorial:|Site:|Códigos de Negociação1:|Códigos de Negociação2:|Códigos de Negociação3:|Códigos de Negociação4:|Códigos de Negociação5:|Códigos de Negociação6:|Códigos de Negociação7:|Códigos de Negociação8:|Códigos de Negociação9:|Códigos de Negociação10:|Códigos de Negociação11:|Códigos de Negociação12:|Códigos de Negociação13:|Códigos ISIN1:|Códigos ISIN2:|Códigos ISIN3:|Códigos ISIN4:|Códigos ISIN5:|Códigos ISIN6:|Códigos ISIN7:|Códigos ISIN8:|Códigos CVM:
IGB ELETRÔNICA S/A|IGB S/A||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=6815|IGB S/A|43.185.362/0001-07|Eletroeletrónica|Financeiro / Exploração de Imóveis / Exploração de Imóveis|www.igbeletronica.com|IGBR3|IGBR3|||||||||||| BRIGBRACNOR7  ||||||||  6815
IGUA SANEAMENTO S.A.|IGUA SA|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23175|IGUA SA|08.159.965/0001-33|Prestação de Serviços Públicos de água E Esgoto.|Utilidade Pública / água e Saneamento / água e Saneamento|www.iguasa.com.br|IGSN3|IGSN3|||||||||||| BRIGSNACNOR0  ||||||||  23175
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A|IGUATEMI|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20494|IGUATEMI|51.218.147/0001-93|Empresa Full Service No Setor de Shopping Centers. Suas Atividades Englobam A Concepção. O Planejamento. O Desenvolvimento E A Administração de Shopping Centers Regionais E Complexos Imobiliários.|Financeiro / Exploração de Imóveis / Exploração de Imóveis|www.iguatemi.com.br|IGTA3|IGTA3|||||||||||| BRIGTAACNOR5  ||||||||  20494
INDUSTRIAS J B DUARTE S.A.|J B DUARTE||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12319|J B DUARTE|60.637.238/0001-54|Comércio Atacadista Especializado em Outros Produtos Alimenticios. Reflorestamento. Setor Imobiliario. Etc.|Outros / Outros / Outros|www.industriasjbduarte.com.br|JBDU3|JBDU4|JBDU3||||||||||| BRJBDUACNOR6| BRJBDUACNPR3  |||||||  12319
INDUSTRIAS ROMI S.A.|INDS ROMI|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=7510|INDS ROMI|56.720.428/0001-63|Indústria E Comércio de Máquinas-ferramenta|Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais|www.romi.com|ROMI3|ROMI3|||||||||||| BRROMIACNOR8  ||||||||  7510
INEPAR S.A. INDUSTRIA E CONSTRUCOES|INEPAR||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=7595|INEPAR|76.627.504/0001-06|Fabricação de Equipamentos E Sistemas Elétricos . Fabricação de Torres E Acessórios Para Transmissão de Energia E Telecomunicações. Fabricação de Bens de Capital E Sitemas Industriais Sob Encomenda.|Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais|www.inepar.com.br|INEP3|INEP4|INEP3||||||||||| BRINEPACNOR1| BRINEPACNPR8| BRINEPDBO036| BRINEPDBO044  |||||  7595
INSTITUTO HERMES PARDINI S.A.|IHPARDINI|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24090|IHPARDINI|19.378.769/0001-76|Prestação de Serviços de Medicina Diagnóstica.|Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos|www3.hermespardini.com.br/ri|PARD3|PARD3|||||||||||| BRPARDACNOR1  ||||||||  24090
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA|INTELBRAS|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25453|INTELBRAS|82.901.000/0001-27|A Companhia Tem Como Atividade Principal A Exploração Da Indústria de Eletrónicos.|Tecnologia da Informação / Computadores e Equipamentos / Computadores e Equipamentos||INTB3|INTB3|||||||||||| BRINTBACNOR9  ||||||||  25453
INTER CONSTRUTORA E INCORPORADORA S.A.|INTER SA|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24279|INTER SA|09.611.768/0001-76|Incorporação de Empreendimentos Imobiliários E Construção de Edifícios|Consumo Cíclico / Construção Civil / Incorporações|www.interconstrutora.com.br|INNT3|INNT3|||||||||||| BRINNTACNOR4  ||||||||  24279
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.|IMC S/A|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23574|IMC S/A|17.314.329/0001-20|Setor de Varejo de Alimentação|Consumo Cíclico / Hoteis e Restaurantes / Restaurante e Similares|www.internationalmealcompany.com|MEAL3|MEAL3|||||||||||| BRMEALACNOR9  ||||||||  23574
INVESTIMENTOS BEMGE S.A.|INVEST BEMGE||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=6041|INVEST BEMGE|01.548.981/0001-79|Investimentos|Outros / Outros / Outros|www.investimentosbemge.com.br|FIGE3|FIGE4|FIGE3||||||||||| BRFIGEACNOR6| BRFIGEACNPR3  |||||||  6041
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR|INVEPAR|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18775|INVEPAR|03.758.318/0001-24|Foi Constituída Sob A Forma de Sociedade Anónima E Tem Como Objeto Social A Participação em Outras Sociedades.|Bens Industriais / Transporte / Serviços de Apoio e Armazenagem|www.invepar.com.br|IVPR3B|IVPR4B|IVPR3B||||||||||| BRIVPRACNOR6| BRIVPRACNPR3  |||||||  18775
IOCHPE MAXION S.A.|IOCHP-MAXION|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11932|IOCHP-MAXION|61.156.113/0001-75|Fabricação E Comercialização de Produtos Do Setor Automotivo E Equipamentos Ferroviários.|Consumo Cíclico / Automóveis e Motocicletas / Automóveis e Motocicletas|www.iochpe.com.br|MYPK3|MYPK3|||||||||||| BRMYPKACNOR7  ||||||||  11932
IRANI PAPEL E EMBALAGEM S.A.|IRANI|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=2429|IRANI|92.791.243/0001-03|Fabricação de Papel Para Embalagem. Embalagens de Papelão Ondulado E Resinas.|Materiais Básicos / Madeira e Papel / Papel e Celulose|www.irani.com.br|RANI3|RANI3|||||||||||| BRRANIACNOR5  ||||||||  2429
IRB - BRASIL RESSEGUROS S.A.|IRBBRASIL RE|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24180|IRBBRASIL RE|33.376.989/0001-91|Operações de Resseguro E Retrocessão|Financeiro / Previdência e Seguros / Seguradoras|ri.irbbrasilre.com|IRBR3|IRBR3|||||||||||| BRIRBRACNOR4  ||||||||  24180
ITAPEBI GERACAO DE ENERGIA S.A.|ITAPEBI||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19364|ITAPEBI|02.397.080/0001-96|Geração de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.itapebi.com.br|NENHUM||||||||||||| ||||||||  19364
ITAU UNIBANCO HOLDING S.A.|ITAUUNIBANCO|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19348|ITAUUNIBANCO|60.872.504/0001-23|A Sociedade Tem Por Objeto A Atividade Bancária em Todas As Modalidades Autorizadas. Inclusive A de Operações de Câmbio.|Financeiro / Intermediários Financeiros / Bancos|www.itau-unibanco.com.br/relacoes-com-investidores|ITUB3|ITUB4|ITUB3||||||||||| BRITUBACNOR4| BRITUBACNPR1  |||||||  19348
ITAUSA S.A.|ITAUSA|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=7617|ITAUSA|61.532.644/0001-15|Gestão de Participações Societárias (holding)|Financeiro / Intermediários Financeiros / Bancos|www.itausa.com.br|ITSA3|ITSA4|ITSA3||||||||||| BRITSAACNOR0| BRITSAACNPR7  |||||||  7617
J. MACEDO S.A.|J.MACEDO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21156|J.MACEDO|14.998.371/0001-19|Industrialização de Massas Alimentícias. Farinhas. Misturas Para Bolo Domésticas. Biscoitos.  Sobremesas E Derivados de Trigo.|Consumo não Cíclico / Alimentos Processados / Alimentos Diversos|www.jmacedo.com.br|NENHUM||||||||||||| ||||||||  21156
JALLES MACHADO S.A.|JALLESMACHAD|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25496|JALLESMACHAD|02.635.522/0001-95|Exploração Agrícola Industrial E Comercial em Todas As Suas Modalidades. Especialmente No Que Diz Respeito à Produção de Cana-de-açúcar. Seus Subprodutos. em Especial Do Açúcar E Do álcool.|Consumo não Cíclico / Alimentos Processados / Açucar e Alcool||JALL3|JALL3|||||||||||| BRJALLACNOR0  ||||||||  25496
JBS S.A.|JBS|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20575|JBS|02.916.265/0001-60||Consumo não Cíclico / Alimentos Processados / Carnes e Derivados|www.jbs.com.br|JBSS3|JBSS3|||||||||||| BRJBSSACNOR8  ||||||||  20575
JEREISSATI PARTICIPACOES S.A.|JEREISSATI||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8672|JEREISSATI|60.543.816/0001-93||Financeiro / Exploração de Imóveis / Exploração de Imóveis|www.jereissati.com.br|JPSA3|JPSA3|||||||||||| BRJPSAACNOR6  ||||||||  8672
JHSF PARTICIPACOES S.A.|JHSF PART|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20605|JHSF PART|08.294.224/0001-65|Empresa Que Investe No Brasil em Negócios Voltados A Atender O Público de Alta Renda. Focada No Desenvolvimento E Administração de Projetos de Shopping Centers. Hotéis E E Restaurantes E Incorporação.|Consumo Cíclico / Construção Civil / Incorporações|http://ri.jhsf.com.br/|JHSF3|JHSF3|||||||||||| BRJHSFACNOR2  ||||||||  20605
JOAO FORTES ENGENHARIA S.A.|JOAO FORTES||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=7811|JOAO FORTES|33.035.536/0001-00|Incorporação E Construção de Imóveis; Execução Por Administração de Obras de Construção Civil.|Consumo Cíclico / Construção Civil / Incorporações|www.joaofortes.com.br/ri|JFEN3|JFEN3|||||||||||| BRJFENACNOR0  ||||||||  7811
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP|JOSAPAR||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=13285|JOSAPAR|87.456.562/0001-22|Beneficiamento de Arroz E Participações|Consumo não Cíclico / Alimentos Processados / Alimentos Diversos|http://www.josapar.com.br|JOPA3|JOPA4|JOPA3||||||||||| BRJOPAACNOR5| BRJOPAACNPR2  |||||||  13285
JSL S.A.|JSL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22020|JSL|52.548.435/0001-79||Bens Industriais / Transporte / Transporte Rodoviário|www.jsl.com.br/ri|JSLG3|JSLG3|||||||||||| BRJSLGACNOR2  ||||||||  22020
KARSTEN S.A.|KARSTEN||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4146|KARSTEN|82.640.558/0001-04|Fabricação. Exportação. Importação E O Comércio Atacadista E Varejista de Fios. Tecidos E Produtos Têxteis em Geral.|Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos|www.karsten.com.br|CTKA3|CTKA4|CTKA3||||||||||| BRCTKAACNOR0| BRCTKAACNPR7  |||||||  4146
KEPLER WEBER S.A.|KEPLER WEBER||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=7870|KEPLER WEBER|91.983.056/0001-69|Indústria E Comércio de Produtos E Matérias Primas Relacionadas A Metalurgia. Importação E Exportação. Prestação de Serviços. Comércio de Produtos Destinados A Agroindústria.|Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais|www.kepler.com.br|KEPL3|KEPL11|||||||||||| BRKEPLACNOR1| BRKEPLN01M16  |||||||  7870
KLABIN S.A.|KLABIN S/A|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12653|KLABIN S/A|89.637.490/0001-45|Empresa Brasileira de Base Florestal. Produtora de Papéis E Cartões Para Embalagens. Embalagens de Papelão Ondulado E Sacos Industriais. Além de Ser Recicladora E Produtora de Toras Para Serrarias.|Materiais Básicos / Madeira e Papel / Papel e Celulose|www.klabin.com.br|KLBN11|KLBN3|KLBN4|KLBN11|KLBN3||||||||| BRKLBNACNOR2| BRKLBNACNPR9| BRKLBNCDAM18  ||||||  12653
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.|LAVVI|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25062|LAVVI|26.462.693/0001-28|Incorporadora Imobiliária|Consumo Cíclico / Construção Civil / Incorporações|www.lavvi.com.br|LAVV3|LAVV3|||||||||||| BRLAVVACNOR4  ||||||||  25062
LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.|LIFEMED|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24872|LIFEMED|02.357.251/0001-53|Fabricação de Instrumentos Não Eletronicos E Utensilios Para Uso Médico. Odontológico E De laboratório;|Saúde / Equipamentos / Equipamentos||LMED3|LMED3|||||||||||| BRLMEDACNOR3  ||||||||  24872
LIGHT S.A.|LIGHT S/A|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19879|LIGHT S/A|03.378.521/0001-75|Participação em Sociedades P/ Exploração Serviços de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.light.com.br|LIGT3|LIGT3|||||||||||| BRLIGTACNOR2  ||||||||  19879
LIGHT SERVICOS DE ELETRICIDADE S.A.|LIGHT||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8036|LIGHT|60.444.437/0001-46|A Light – Serviços de Eletricidade S.A. Tem Como Atividade A Distribuição de Energia Elétrica.|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.light.com.br|NENHUM||||||||||||| BRLIGHDBS009  ||||||||  8036
LINX S.A.|LINX|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23035|LINX|06.948.969/0001-75||Tecnologia da Informação / Programas e Serviços / Programas e Serviços|www.linx.com.br|LINX3|LINX3|||||||||||| BRLINXACNOR0  ||||||||  23035
LITEL PARTICIPACOES S.A.|LITEL|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=15091|LITEL|00.743.065/0001-27||Materiais Básicos / Mineração / Minerais Metálicos|www.litelbrasil.com.br|LTEL3B|LTEL3B|||||||||||| BRLTELACNOR1  ||||||||  15091
LITELA PARTICIPAÇÕES S.A.|LITELA|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24759|LITELA|05.495.546/0001-84|A Cia Tem Como Atividade A Participação. Sob Qualquer Forma. No Capital de Outras Sociedades Civis Ou Comerciais. Atualmente. A Cia Tem Participação Somente Na Vale S.A.|Materiais Básicos / Mineração / Minerais Metálicos||LTLA3B|LTLA3B|||||||||||| BRLTLAACNOR9  ||||||||  24759
LOCALIZA RENT A CAR S.A.|LOCALIZA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19739|LOCALIZA|16.670.085/0001-55|Aluguel de Carros E Gestão de Frotas|Consumo Cíclico / Diversos / Aluguel de carros|www.localiza.com|RENT3|RENT3|||||||||||| BRRENTACNOR4  ||||||||  19739
LOCAWEB SERVIÇOS DE INTERNET S.A.|LOCAWEB|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24910|LOCAWEB|02.351.877/0001-52||Tecnologia da Informação / Programas e Serviços / Programas e Serviços||LWSA3|LWSA3|||||||||||| BRLWSAACNOR8  ||||||||  24910
LOG COMMERCIAL PROPERTIES|LOG COM PROP|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23272|LOG COM PROP|09.041.168/0001-10|Administração de Bens Próprios. Prestação de Serviços de Engenharia E Construção.incorporação. Construção Comercialização E Locação de Imóveis.participação em Outras Sociedades Como Sócia Ou Acionista|Financeiro / Exploração de Imóveis / Exploração de Imóveis|http://www.logcp.com.br|LOGG3|LOGG3|||||||||||| BRLOGGACNOR7  ||||||||  23272
LOG-IN LOGISTICA INTERMODAL S.A.|LOG-IN|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20710|LOG-IN|42.278.291/0001-24|A Log-in Oferece Soluções Logísticas Integradas Através Do Transporte Marítimo em Navios Porta-contêineres. Terminal Portuário. Terminais Intermodais E Transporte Rodoviário de Curta Distância.|Bens Industriais / Transporte / Transporte Hidroviário|www.loginlogistica.com.br|LOGN3|LOGN3|||||||||||| BRLOGNACNOR3  ||||||||  20710
LOJAS AMERICANAS S.A.|LOJAS AMERIC|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8087|LOJAS AMERIC|33.014.556/0001-96|Comércio em Geral. Inclusive Supermercado E Lanchonete. Lojas de Conveniência. No Varejo E No Atacado. Através de Lojas E Depósitos. de Quaisquer Mercadorias. Bem Como A Realização de Serviços.|Consumo Cíclico / Comércio / Produtos Diversos|http://ri.lasa.com.br|LAME3|LAME4|LAME3||||||||||| BRLAMEACNOR9| BRLAMEACNPR6  |||||||  8087
LOJAS QUERO-QUERO S/A|QUERO-QUERO|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25038|QUERO-QUERO|96.418.264/0218-02|Comércio Varejista Especializado em Material de Construção. Eletrodomésticos E Móveis.|Consumo Cíclico / Comércio / Produtos Diversos||LJQQ3|LJQQ3|||||||||||| BRLJQQACNOR5  ||||||||  25038
LOJAS RENNER S.A.|LOJAS RENNER|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8133|LOJAS RENNER|92.754.738/0001-62|Loja de Departamentos (comércio Varejista)|Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados|www.lojasrenner.com.br|LREN3|LREN3|||||||||||| BRLRENACNOR1  ||||||||  8133
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.|LOPES BRASIL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20370|LOPES BRASIL|08.078.847/0001-09|Intermediação Na Compra. Venda. Permuta E Locação de Imóveis Ou de Direitos E Obrigações A Eles Relativos.|Financeiro / Exploração de Imóveis / Intermediação Imobiliária|www.lopes.com.br|LPSB3|LPSB3|||||||||||| BRLPSBACNOR0  ||||||||  20370
LUPATECH S.A.|LUPATECH|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20060|LUPATECH|89.463.822/0001-12|Fabricante de Equipamentos E Provedor de Serviços Para O Setor de Petróleo E Gás.|Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Equipamentos e Serviços|www.lupatech.com.br|LUPA3|LUPA11|||||||||||| BRLUPAACNOR8| BRLUPAN01OR2  |||||||  20060
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS|M.DIASBRANCO|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20338|M.DIASBRANCO|07.206.816/0001-15|Produção E Comercialização de Biscoitos. Massas. Farinha de Trigo E Farelo. Margarinas E Gorduras. Bolos. Snacks. Mistura Para Bolos E Torradas.|Consumo não Cíclico / Alimentos Processados / Alimentos Diversos|www.mdiasbranco.com.br|MDIA3|MDIA3|||||||||||| BRMDIAACNOR7  ||||||||  20338
MAESTRO LOCADORA DE VEICULOS S.A.|MAESTROLOC|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23612|MAESTROLOC|08.795.211/0001-70|A Companhia Presta Serviços de Locação de Veículos E Gestão de Frotas.|Consumo Cíclico / Diversos / Aluguel de carros|www.maestrofrotas.com.br|MSRO3|MSRO3|||||||||||| BRMSROACNOR7  ||||||||  23612
MAGAZINE LUIZA S.A.|MAGAZ LUIZA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22470|MAGAZ LUIZA|47.960.950/0001-21|Somos Uma Rede Varejista E Atuamos Com Foco Na Comercialização de Bens Duráveis No Brasil.|Consumo Cíclico / Comércio / Eletrodomésticos|www.magazineluiza.com.br|MGLU3|MGLU3|||||||||||| BRMGLUACNOR2  ||||||||  22470
MAHLE-METAL LEVE S.A.|METAL LEVE|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8575|METAL LEVE|60.476.884/0001-87|Industria E Comércio de Peças E Componentes Para Motores A Combustão|Consumo Cíclico / Automóveis e Motocicletas / Automóveis e Motocicletas|www.mahle.com.br|LEVE3|LEVE3|||||||||||| BRLEVEACNOR2  ||||||||  8575
MANGELS INDUSTRIAL S.A.|MANGELS INDL||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8397|MANGELS INDL|61.065.298/0001-02|Produção de Relaminados. Trefilados E Perfilados de Aço. Exceto Arames.|Materiais Básicos / Siderurgia e Metalurgia / Artefatos de Ferro e Aço|www.mangels.com.br|MGEL3|MGEL4|MGEL3||||||||||| BRMGELACNOR6| BRMGELACNPR3  |||||||  8397
MANUFATURA DE BRINQUEDOS ESTRELA S.A.|ESTRELA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8427|ESTRELA|61.082.004/0001-50|Fabricação de Brinquedos E Jogos Recreativos|Consumo Cíclico / Viagens e Lazer / Brinquedos e Jogos|www.estrela.com.br|ESTR3|ESTR4|ESTR3||||||||||| BRESTRACNOR3| BRESTRACNPR0  |||||||  8427
MARCOPOLO S.A.|MARCOPOLO|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8451|MARCOPOLO|88.611.835/0001-29|Indústria E Comércio de ónibus E Carrocerias Para ónibus. Suas Partes. Peças E Componentes|Bens Industriais / Material de Transporte / Material Rodoviário|www.marcopolo.com.br|POMO3|POMO4|POMO3||||||||||| BRPOMOACNOR0| BRPOMOACNPR7  |||||||  8451
MARFRIG GLOBAL FOODS S.A.|MARFRIG|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20788|MARFRIG|03.853.896/0001-40|Produção E Distribuição de Alimentos à Base de Carne Bovina. Suína. Ovina E Avícola. In Natura. Elaborados E Processados. Couros Semi-terminados E Terminados. Além de Outros Produtos Alimentícios.|Consumo não Cíclico / Alimentos Processados / Carnes e Derivados|www.marfrig.com.br|MRFG3|MRFG3|||||||||||| BRMRFGACNOR0  ||||||||  20788
MARISA LOJAS S.A.|LOJAS MARISA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22055|LOJAS MARISA|61.189.288/0001-89|Comércio Varejista de Artigos Do Vestuário E Acessórios. Prestação de Serviços de Correspondente Bancário. Intermediação de Negócios E Congêneres. Atuação Como Representante de Seguros.|Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados|www.marisa.com.br|AMAR3|AMAR3|||||||||||| BRAMARACNOR4  ||||||||  22055
MÉLIUZ S.A.|MELIUZ|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25232|MELIUZ|14.110.585/0001-07|Portal Virtual Para Veiculação E Divulgação de Marcas. Produtos E Outros Materiais. Locação de Espaço Publicitário. Intermediação de Negócios. Licenciamento de Softwares E Participação em Sociedades.|Tecnologia da Informação / Programas e Serviços / Programas e Serviços||CASH3|CASH3|||||||||||| BRCASHACNOR8  ||||||||  25232
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.|MELNICK|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25119|MELNICK|12.181.987/0001-77|Construção. Incorporação. Loteamento E Comercialização de Condomínios E Empreendimentos Imobiliários de Qualquer Natureza.|Consumo Cíclico / Construção Civil / Incorporações||MELK3|MELK3|||||||||||| BRMELKACNOR8  ||||||||  25119
MERCANTIL BRASIL FINANC S.A. C.F.I.|MERC FINANC||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=8540|MERC FINANC|33.040.601/0001-87|Crédito. Financiamento E Investimentos|Financeiro / Intermediários Financeiros / Soc. Crédito e Financiamento|www.mercantildobrasil.com.br|MERC3|MERC4|MERC3||||||||||| BRMERCACNOR2| BRMERCACNPR9  |||||||  8540
